Maturity;ZCIIS;YYIIS;floor 0%;floor 2%;
1;0,84;0,84;0,03;0,99;
2;1,82;1,81;0,11;2,12;
3;2,86;2,82;0,22;3,24;
4;3,94;3,88;0,37;4,4;
5;5,04;4,93;0,56;5,59;
6;6,21;6,05;0,74;6,72;
7;7,48;7,26;0,93;7,83;
8;8,81;8,51;1,1;8,82;
9;10,21;9,84;1,29;9,8;
10;11,69;11,23;1,49;10,76;
11;13,15;12,61;1,65;11,64;
12;14,66;14,03;1,83;12,52;
13;16,24;15,49;2,01;13,34;
14;17,87;16,99;2,2;14,17;
15;19,56;18,54;2,4;15,01;
16;21,23;20,05;2,56;15,73;
17;22,97;21,59;2,73;16,46;
18;24,76;23,17;2,91;17,2;
19;26,61;24,77;3,1;17,95;
20;28,54;26,4;3,29;18,71;
21;30,39;27,94;3,43;19,4;
22;32,3;29,5;3,58;20,1;
23;34,27;31,08;3,73;20,8;
24;36,31;32,68;3,89;21,52;
25;38,43;34,3;4,06;22,24;
26;40,46;35,83;4,24;22,96;
27;42,55;37,37;4,42;23,69;
28;44,71;38,92;4,61;24,43;
29;46,92;40,49;4,81;25,17;
30;49,23;42,07;5,02;25,93;
