1;0,298115272
2;0,283316181
3;0,276491942
4;0,274412446
5;0,27164662
6;0,270521865
7;0,268735533
8;0,266893592
9;0,265951563
10;0,264086815
11;0,262031034
12;0,261062952
13;0,260225141
14;0,259620141
15;0,25907971
16;0,258754505
17;0,258486137
18;0,258292497
19;0,258104214
20;0,257989644
21;0,257745466
22;0,257498758
23;0,257373234
24;0,257198705
25;0,257094959
26;0,25696836
27;0,256893113
28;0,256838612
29;0,256781585
30;0,256773052
31;0,256547886
32;0,256316593
33;0,25611187
34;0,255944333
35;0,25576412
36;0,255588056
37;0,255440536
38;0,255281926
39;0,255135981
40;0,255007795
